WordNet ID,Name,Clutter,Difficulty,Scale,CNN similarity: highest ranked,Human similarity: highest ranked,Semantic similarity: highest ranked
n01440764,tench,3.7922,0.1200,0.2874,"tench, eel, barracouta, crayfish, frilled_lizard","tench, barracouta, puffer, anemone_fish, rock_beauty","tench, goldfish, eel, anemone_fish, rock_beauty"
n01443537,goldfish,1.3158,0.1277,0.5036,"goldfish, puffer, quill, fiddler_crab, isopod","goldfish, rock_beauty, anemone_fish, puffer, lionfish","goldfish, tench, eel, anemone_fish, rock_beauty"
n01484850,great_white_shark,1.6634,0.1800,0.4276,"great_white_shark, tiger_shark, hammerhead, barracouta, dugong","great_white_shark, tiger_shark, hammerhead, stingray, dugong","great_white_shark, hammerhead, tiger_shark, electric_ray, stingray"
n01491361,tiger_shark,1.4966,0.3556,0.4745,"tiger_shark, great_white_shark, hammerhead, barracouta, sturgeon","tiger_shark, great_white_shark, hammerhead, dugong, stingray","tiger_shark, hammerhead, great_white_shark, electric_ray, stingray"
n01494475,hammerhead,1.6242,0.2609,0.3560,"hammerhead, tiger_shark, barracouta, great_white_shark, stingray","hammerhead, tiger_shark, great_white_shark, puffer, dugong","hammerhead, great_white_shark, tiger_shark, stingray, electric_ray"
n01496331,electric_ray,1.7740,0.3000,0.5087,"electric_ray, stingray, tiger_shark, hammerhead, loggerhead","electric_ray, loggerhead, puffer, hammerhead, stingray","electric_ray, stingray, hammerhead, great_white_shark, tiger_shark"
n01498041,stingray,1.7916,0.3878,0.3945,"stingray, electric_ray, hammerhead, tiger_shark, starfish","stingray, tiger_shark, puffer, great_white_shark, hammerhead","stingray, electric_ray, hammerhead, tiger_shark, great_white_shark"
n01514668,cock,1.1187,0.3200,0.5173,"cock, hen, lorikeet, worm_fence, breakwater","cock, spoonbill, oystercatcher, ruddy_turnstone, albatross","cock, hen, ostrich, toucan, jacamar"
n01514859,hen,1.2381,0.2400,0.5082,"hen, cock, drake, badger, kite","hen, spoonbill, ruddy_turnstone, cock, albatross","hen, ostrich, coucal, bee_eater, hornbill"
n01518878,ostrich,1.2522,0.0408,0.4111,"ostrich, llama, chainlink_fence, Arabian_camel, hay","ostrich, limpkin, black_grouse, red-backed_sandpiper, dowitcher","ostrich, hen, coucal, bee_eater, hornbill"
n01530575,brambling,1.2464,0.2083,0.2384,"brambling, red-backed_sandpiper, goldfinch, ruddy_turnstone, redshank","brambling, bulbul, goldfinch, robin, magpie","brambling, junco, indigo_bunting, goldfinch, house_finch"
n01531178,goldfinch,1.2739,0.1600,0.2579,"goldfinch, brambling, water_ouzel, peacock, bee_eater","goldfinch, jay, magpie, ruddy_turnstone, chickadee","goldfinch, junco, brambling, indigo_bunting, house_finch"
n01532829,house_finch,1.4379,0.1600,0.2574,"house_finch, coucal, bulbul, ruffed_grouse, hummingbird","ruddy_turnstone, oystercatcher, bulbul, house_finch, coucal","house_finch, junco, indigo_bunting, goldfinch, brambling"
n01534433,junco,1.1714,0.0600,0.2647,"junco, jacamar, ice_cream, brambling, chickadee","junco, bulbul, goldfinch, ruddy_turnstone, oystercatcher","junco, brambling, goldfinch, indigo_bunting, house_finch"
n01537544,indigo_bunting,1.0726,0.1000,0.1644,"indigo_bunting, peacock, bulbul, fountain, plastic_bag","indigo_bunting, bulbul, hummingbird, ruddy_turnstone, bee_eater","indigo_bunting, junco, brambling, goldfinch, house_finch"
n01558993,robin,0.9497,0.1200,0.2839,"robin, coucal, chickadee, house_finch, ski","bulbul, ruddy_turnstone, robin, indigo_bunting, coucal","robin, bulbul, house_finch, goldfinch, brambling"
n01560419,bulbul,1.1740,0.2000,0.2967,"bulbul, jay, house_finch, coucal, hummingbird","bulbul, ruddy_turnstone, indigo_bunting, coucal, hummingbird","bulbul, robin, house_finch, brambling, goldfinch"
n01580077,jay,1.3478,0.1800,0.3788,"jay, bulbul, peacock, jacamar, agama","goldfinch, jay, ruddy_turnstone, bee_eater, junco","jay, magpie, house_finch, goldfinch, indigo_bunting"
